ID,dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
3094,2011-05-13,20,2,0.52,0.5,0.83,0.1343,22,152
10645,2012-03-24,16,3,0.5,0.4848,0.94,0.2985,49,177
2114,2011-04-02,23,1,0.32,0.3182,0.61,0.1642,20,53
15289,2012-10-04,6,3,0.62,0.5455,0.94,0.0896,1,133
2273,2011-04-09,14,2,0.36,0.3485,0.81,0.1343,94,212
7300,2011-11-05,19,1,0.34,0.3636,0.53,0.0,45,204
8892,2012-01-11,9,2,0.2,0.2121,0.86,0.1343,7,225
3244,2011-05-20,2,1,0.44,0.4394,1.0,0.0896,4,8
10514,2012-03-19,5,1,0.44,0.4394,0.94,0.0,0,31
6182,2011-09-20,4,1,0.54,0.5152,0.88,0.1939999999999999,2,6
3100,2011-05-14,2,2,0.5,0.4848,0.88,0.1343,15,52
12596,2012-06-14,1,1,0.6,0.6212,0.56,0.2239,4,21
4817,2011-07-24,15,1,0.9,0.8485,0.42,0.2537,68,238
15822,2012-10-26,11,2,0.56,0.5303,0.78,0.1642,68,290
7975,2011-12-03,23,1,0.3,0.303,0.7,0.1343,12,85
3563,2011-06-02,9,1,0.72,0.6364,0.26,0.3582,28,225
14714,2012-09-10,7,1,0.52,0.5,0.68,0.2239,20,447
13078,2012-07-04,3,1,0.68,0.6364,0.74,0.1939999999999999,9,32
8654,2012-01-01,9,1,0.26,0.2727,0.93,0.1045,13,40
4472,2011-07-10,6,1,0.64,0.5909,0.78,0.0896,8,25
6176,2011-09-19,22,2,0.56,0.5303,0.68,0.1642,25,129
17026,2012-12-17,5,2,0.38,0.3939,0.87,0.0,0,24
6312,2011-09-25,14,2,0.66,0.6061,0.78,0.0,116,347
16821,2012-12-08,16,1,0.42,0.4242,0.82,0.1642,139,507
16150,2012-11-10,16,1,0.54,0.5152,0.37,0.0,227,605
15752,2012-10-23,13,2,0.64,0.6212,0.44,0.0,59,303
15185,2012-09-29,22,1,0.5,0.4848,0.63,0.1045,48,221
14776,2012-09-12,21,1,0.6,0.6061,0.6,0.1343,27,306
16701,2012-12-03,16,1,0.6,0.6212,0.53,0.1343,45,442
9279,2012-01-27,13,1,0.5,0.4848,0.59,0.4627,26,201
2635,2011-04-24,17,1,0.66,0.6212,0.65,0.2985,142,331
7745,2011-11-24,8,1,0.3,0.3182,0.65,0.0896,4,46
14632,2012-09-06,21,1,0.64,0.5758,0.89,0.1642,32,272
15117,2012-09-27,2,1,0.6,0.5758,0.78,0.0896,3,16
3231,2011-05-19,13,3,0.58,0.5455,0.64,0.2537,44,183
12293,2012-06-01,10,2,0.66,0.6061,0.78,0.2836,49,204
14354,2012-08-26,7,1,0.64,0.5758,0.89,0.1939999999999999,11,34
2484,2011-04-18,10,2,0.52,0.5,0.55,0.1045,41,109
4842,2011-07-25,16,1,0.7,0.6667,0.84,0.2239,37,198
10784,2012-03-30,11,2,0.36,0.3788,0.53,0.0,48,201
14353,2012-08-26,6,1,0.62,0.5606,0.88,0.2985,5,21
